coder,volume_id,descriptive_title,full_description,n_files,thumbnail,investigator_1_lastname,investigator_1_party_id,sharing_level,funding_listed,comments
kmj,449,yes,no,0,no,cristia,1034,private,no,
kmj,450,no,no,35,no,jaswal,1117,private,no,
kmj,451,no,no,21,no,jaswal,1117,private,no,
kmj,452,yes,yes,26,no,adolph,5,entire,no,
kmj,453,no,no,33,no,jaswal,1117,private,no,
kmj,454,no,no,84,no,weisberg,562,private,no,"shared files, but private volume"
kmj,455,yes,no,79,no,adolph,5,private,no,"shared files, but private volume"
kmj,456,no,no,14,no,cristia,1034,private,no,
kmj,457,yes,no,45,no,lilard,318,private,no,
kmj,458,yes,yes,3,no,hoch,412,entire,yes,
kmj,459,yes,no,8,no,adolph,5,entire,yes,
kmj,460,yes,yes,64,no,adolph,5,private,no,
kmj,461,no,no,22,no,cordes,798,private,no,"shared files, but private volume"
kmj,462,no,no,14,no,cordes,798,private,no,"shared files, but private volume"
kmj,463,no,no,96,no,cordes,798,private,no,"shared files, but private volume"
kmj,464,yes,no,1223,no,dudley,1820,private,yes,
kmj,465,no,no,1,no,arshad,2223,entire,NA,
kmj,466,no,no,704,no,cabrera,3044,private,no,
kmj,467,no,no,0,no,cabrera,3044,private,no,
kmj,468,yes,yes,1,yes,shirai,2219,entire,NA,
kmj,469,yes,yes,49,no,strathearn,761,private,yes,
kmj,470,no,no,110,no,cordes,798,private,no,error in age entry
kmj,471,yes,yes,20,yes,adolph,5,entire,yes,
kmj,472,no,no,292,no,kucker,1913,private,no,
kmj,473,yes,yes,9,no,gilmore,6,entire,no,
kmj,474,no,no,28,no,jaswal,1117,private,no,
kmj,475,no,no,53,no,oakes,538,private,no,error in age entry
kmj,476,no,no,285,no,adolph,5,private,no,"shared files, but private volume"
kmj,477,no,no,8,no,gilmore,6,private,no,"shared files, but private volume"
kmj,478,yes,no,0,no,oakes,538,private,no,
kmj,479,no,yes,26,no,oakes,538,private,no,
kmj,480,yes,yes,8,no,cook,681,entire,yes,
kmj,481,yes,yes,5,no,"foster-hanson, leshin, rhodes","3121, 3391, 277",entire,no,
kmj,482,yes,yes,1,no,shirai,2219,entire,no,
kmj,483,no,no,0,no,tamis-lemonda,11,private,no,Empty Volume
kmj,484,no,no,236,no,tamis-lemonda,11,private,no,
kmj,485,no,yes,3901,no,lobue,82,private,yes,"shared files, but private volume"
kmj,486,no,no,0,no,perez-edgar,96,private,no,
kmj,487,no,no,79,no,jirout,1197,private,no,
kmj,488,yes,yes,3,no,escobar,862,private,no,"shared files, but private volume"
kmj,489,yes,yes,186,no,goldstein,531,private,no,
kmj,490,no,no,0,no,oakes,538,private,no,error in age calculation
kmj,491,yes,no,38,no,palmquist,2945,private,no,
kmj,492,yes,no,17,no,palmquist,2945,private,no,
kmj,493,yes,no,22,no,palmquist,2945,private,no,
kmj,494,yes,no,18,no,palmquist,2945,private,no,
kmj,495,no,no,48,no,jaswal,1117,private,no,
kmj,496,no,no,22,no,palmquist,2945,private,no,
kmj,497,no,no,14,no,vishton,60,private,no,
kmj,498,no,no,16,no,palmquist,2945,private,no,
kmj,499,no,no,53,no,palmquist,2945,private,no,
kmj,500,no,no,39,no,palmquist,2945,private,no,
mhb,501,no,no,14,no,vishton,60,private,no,
mhb,502,no,no,7,no,vishton,60,private,no,
mhb,503,no,no,33,no,palmquist,2945,private,no,
mhb,504,no,no,13,no,palmquist,2945,private,no,
mhb,505,no,no,14,no,palmquist,2945,private,no,
mhb,506,no,no,16,no,palmquist,2945,private,no,
mhb,507,no,no,16,no,palmquist,2945,private,no,
mhb,508,no,no,33,no,palmquist,2945,private,no,
mhb,509,no,no,647,no,lillard,318,private,no,"shared files, but private volume"
mhb,510,no,no,40,no,lillard,318,private,no,"shared files, but private volume"
mhb,511,no,no,32,no,palmquist,2945,private,no,
mhb,512,no,no,8,no,palmquist,2945,private,no,
mhb,513,no,no,32,no,palmquist,2945,private,no,
mhb,514,no,no,29,no,palmquist,2945,private,no,
mhb,515,no,no,44,no,palmquist,2945,private,no,
mhb,516,no,no,23,no,lillard,318,private,no,
mhb,517,no,no,127,no,lillard,318,private,no,
mhb,518,no,no,35,no,lillard,318,private,no,
mhb,519,no,no,35,no,palmquist,2945,private,no,
mhb,520,no,no,33,no,palmquist,2945,private,no,
mhb,521,no,no,16,no,perez-edgar,96,private,no,
mhb,522,no,no,3,no,palmquist,2945,private,no,
mhb,523,no,no,71,no,palmquist,2945,private,no,
mhb,524,no,no,33,no,palmquist,2945,private,no,
mhb,525,no,no,11,no,palmquist,2945,private,no,
mhb,526,no,no,52,no,palmquist,2945,private,no,
mhb,527,no,no,0,no,cabrera,3044,private,no,
mhb,528,yes,no,28,no,cabrera,3044,private,no,
mhb,529,no,no,67,no,palmquist,2945,private,no,
mhb,530,no,no,16,no,palmquist,2945,private,no,
mhb,531,no,no,32,no,palmquist,2945,private,no,
mhb,532,no,no,19,no,palmquist,2945,private,no,
mhb,533,no,no,4,no,palmquist,2945,private,no,
mhb,534,yes,no,0,no,rhodes,277,private,yes,link to osf
mhb,535,no,no,42,no,lillard,318,private,no,
mhb,536,no,no,0,no,lillard,318,private,no,
mhb,537,no,no,73,no,lillard,318,private,no,
mhb,538,no,no,37,no,lillard,318,private,no,
mhb,539,no,no,46,no,lillard,318,private,no,
mhb,540,no,no,30,no,lillard,318,private,no,
mhb,541,no,no,73,no,palmquist,2945,private,no,
mhb,542,no,no,19,no,palmquist,2945,private,no,
mhb,543,no,no,4,no,palmquist,2945,private,no,
mhb,544,no,no,54,no,lillard,318,private,no,
mhb,545,yes,no,4,no,scott,2653,entire,yes,
rog,546,yes,no,36,no,scott,2653,entire,yes,
rog,547,no,no,12,no,palmquist,2945,private,no,
rog,548,no,no,18,no,lillard,318,private,no,
rog,549,no,no,100,no,lillard,318,private,no,
mhb,550,no,no,40,no,palmquist,2945,private,no,
mhb,551,no,no,33,no,palmquist,2945,private,no,
mhb,552,no,no,21,no,palmquist,2945,private,no,
mhb,553,yes,no,151,no,stutesman,5678,404 Not Found,NA,"shared files, but private volume"
mhb,554,yes,no,2,yes,"trehub, cirelli","2854, 2738",entire,no,
mhb,555,no,no,51,no,lillard,318,private,no,
mhb,556,no,yes,0,no,oakes,538,private,no,
mhb,557,yes,yes,1,no,nye,3506,private,no,
mhb,558,no,no,71,no,lillard,318,private,no,
mhb,559,no,no,49,no,lillard,318,private,no,
mhb,560,yes,no,136,no,stutesman,5678,private,no,"shared files, but private volume"
mhb,561,no,no,47,no,lillard,318,private,no,
mhb,562,no,no,77,no,lillard,318,private,no,
mhb,563,no,yes,420,no,"tamis-lemonda, adolph","11, 5",entire,yes,
mhb,564,yes,no,2034,no,sullivan ,2095,entire,yes,5 total investigators
mhb,565,no,no,0,no,sullivan ,2095,private,no,test
mhb,566,no,no,154,no,lillard,318,private,no,
mhb,567,no,no,338,no,lillard,318,private,no,
mhb,568,no,no,1,no,rhodes,277,private,no,"shared files, but private volume"
mhb,569,yes,no,0,no,moulson,474,entire,no,
kmj,570,no,no,37,no,needham ,118,private,no,
kmj,571,no,no,1,no,needham ,118,private,no,
kmj,572,yes,no,219,no,hartshorne,2521,private,no,error in age entry
kmj,573,yes,yes,286,no,"hauck, lee","997, 384",overview,no,
kmj,574,no,no,3,no,hartshorne,2521,overview,no,
kmj,575,yes,no,162,no,needham ,118,overview,no,
kmj,576,no,no,73,no,oakes,538,private,no,
kmj,577,no,no,4,no,hartshorne,2521,overview,no,
kmj,578,yes,no,34,no,palmquist ,2945,overview,no,
kmj,579,no,no,35,no,oakes,538,private,no,
kmj,580,no,no,0,no,databrary admin,3341,private,no,test
kmj,581,no,no,0,no,laing,3630,private,no,
kmj,582,no,no,1,no,laing,3630,private,no,same title as volume 581
kmj,583,no,no,1,no,laing,3630,private,no,same title as volume 581
kmj,584,no,no,1,no,laing,3630,private,no,
kmj,585,yes,yes,3,no,reynders,3532,private,no,
kmj,586,yes,yes,59,no,stefan,3600,overview,no,
kmj,587,no,no,28,no,lillard,318,overview,no,
kmj,588,no,no,0,no,chemla,3701,overview,no,
kmj,589,no,no,0,no,laing,3630,private,no,
kmj,590,no,no,44,no,laing,3630,private,no,
kmj,591,no,no,74,no,hay ,3299,overview,no,
kmj,592,yes,yes,37,no,weisberg,562,entire,no,
kmj,593,yes,yes,5,no,scott,2653,entire,no,
kmj,594,no,no,152,no,oakes,538,private,no,
kmj,595,yes,yes,1,yes,adolph,5,entire,no,
kmj,596,yes,yes,1,yes,"adolph, Tamis-LeMonda","5, 11",entire,no,
